1	27
1	85
1	89
2	52
2	76
3	30
3	62
4	41
4	99
5	70
5	91
6	87
7	41
7	63
8	24
8	55
8	57
8	64
8	81
10	27
10	64
11	57
11	74
11	84
11	92
12	87
13	24
13	26
15	38
15	90
16	14
16	24
16	74
16	88
17	26
17	29
17	30
17	99
18	10
18	25
19	38
19	49
19	69
20	16
21	39
21	54
22	38
23	19
23	61
24	58
25	20
25	38
25	50
26	4
26	67
26	97
27	55
28	19
28	54
29	12
29	15
29	30
30	45
31	48
31	61
32	8
32	15
32	19
36	7
36	32
36	55
36	82
36	86
37	8
37	11
37	30
37	47
37	69
37	95
38	14
38	54
38	64
39	50
39	88
40	3
40	36
40	45
40	85
41	51
42	45
44	35
45	37
45	47
45	93
46	68
46	89
47	67
48	39
49	87
50	7
50	57
50	71
50	79
51	99
54	45
54	47
54	57
54	60
54	94
56	58
57	6
57	51
57	68
57	86
57	91
58	68
59	2
59	24
59	62
59	88
60	38
60	48
60	74
61	35
61	75
62	39
62	56
62	89
62	94
62	99
63	28
64	59
64	70
64	86
65	53
65	95
66	6
66	28
66	29
66	78
67	10
67	36
68	96
69	18
69	45
69	55
70	3
70	99
71	48
72	25
72	42
73	5
73	6
73	16
73	90
73	95
74	33
74	47
74	49
74	84
76	51
78	17
78	55
78	86
80	82
81	15
83	27
83	34
83	36
84	95
86	83
87	46
87	85
87	92
90	70
91	9
91	11
91	58
92	40
93	83
94	48
95	23
95	45
96	14
96	36
96	59
96	90
96	97
97	32
97	78
97	92
97	100
98	42
98	45
99	43
99	52
100	17
100	72
100	77
100	95
